FID,Area,Longitude,Latitude
0,40000,-65.18567044,-7.868149814
1,10000,-65.18528979,-7.870393731
2,10000,-65.18161506,-7.870515858
3,10000,-65.18069638,-7.870546376
4,10000,-65.18066493,-7.869654921
5,10000,-65.17607154,-7.86980743
6,10000,-65.17515286,-7.869837915
7,10000,-65.18706418,-7.868549723
8,10000,-65.18430817,-7.868641358
9,10000,-65.18247083,-7.868702421
10,10000,-65.17971481,-7.868793974
11,10000,-65.17787747,-7.868854983
12,10000,-65.18335804,-7.86778043
13,10000,-65.18243937,-7.867810958
14,10000,-65.17784604,-7.867963521
15,10000,-65.17692737,-7.867994017
16,10000,-65.17509003,-7.868054993
17,10000,-65.18608255,-7.866797346
18,2500,-65.18690535,-7.870563137
19,2500,-65.18644601,-7.870578413
20,2500,-65.18598667,-7.870593687
21,2500,-65.18231194,-7.870715829
22,2500,-65.18001523,-7.870792125
23,2500,-65.17955588,-7.87080738
24,2500,-65.17725917,-7.870883634
25,2500,-65.17634048,-7.870914127
26,2500,-65.17588114,-7.870929371
27,2500,-65.17496245,-7.870959855
28,2500,-65.18688961,-7.870117411
29,2500,-65.18597093,-7.87014796
30,2500,-65.18275555,-7.87025484
31,2500,-65.18229621,-7.870270103
32,2500,-65.17954016,-7.870361653
33,2500,-65.17724346,-7.870437907
34,2500,-65.17678412,-7.870453154
35,2500,-65.17632477,-7.8704684
36,2500,-65.17586543,-7.870483644
37,2500,-65.17540609,-7.870498887
38,2500,-65.18733321,-7.869656407
39,2500,-65.18687387,-7.869671684
40,2500,-65.18641453,-7.869686959
41,2500,-65.18595519,-7.869702233
42,2500,-65.18549585,-7.869717505
43,2500,-65.18503651,-7.869732776
44,2500,-65.18228048,-7.869824375
45,2500,-65.18182114,-7.869839637
46,2500,-65.1813618,-7.869854897
47,2500,-65.17998378,-7.86990067
48,2500,-65.17952444,-7.869915925
49,2500,-65.17722774,-7.86999218
50,2500,-65.1767684,-7.870007427
51,2500,-65.18731746,-7.869210679
52,2500,-65.18685813,-7.869225955
53,2500,-65.18639879,-7.869241231
54,2500,-65.18593945,-7.869256504
55,2500,-65.18548011,-7.869271777
56,2500,-65.18134608,-7.869409169
57,2500,-65.17996806,-7.869454942
58,2500,-65.17950872,-7.869470197
59,2500,-65.17721203,-7.869546451
60,2500,-65.17675269,-7.869561698
61,2500,-65.18362703,-7.868887124
62,2500,-65.1831677,-7.86890239
63,2500,-65.18178969,-7.868948179
64,2500,-65.18133035,-7.868963439
65,2500,-65.18087101,-7.868978698
66,2500,-65.18041168,-7.868993956
67,2500,-65.17719632,-7.869100722
68,2500,-65.17581831,-7.869146458
69,2500,-65.1836113,-7.868441394
70,2500,-65.18315197,-7.86845666
71,2500,-65.18177396,-7.868502449
72,2500,-65.18131463,-7.868517709
73,2500,-65.18085529,-7.868532968
74,2500,-65.17901795,-7.868593991
75,2500,-65.17855861,-7.868609243
76,2500,-65.17718061,-7.868654991
77,2500,-65.17626193,-7.868685483
78,2500,-65.17534326,-7.86871597
79,2500,-65.17488392,-7.868731212
80,2500,-65.18727023,-7.867873489
81,2500,-65.1868109,-7.867888765
82,2500,-65.1840549,-7.867980396
83,2500,-65.18038023,-7.868102495
84,2500,-65.1799209,-7.868117751
85,2500,-65.17900223,-7.868148259
86,2500,-65.17624622,-7.868239752
87,2500,-65.18725449,-7.867427757
88,2500,-65.18679516,-7.867443033
89,2500,-65.1844985,-7.867519396
90,2500,-65.18403917,-7.867534664
91,2500,-65.18128318,-7.867626246
92,2500,-65.18082384,-7.867641505
93,2500,-65.18036451,-7.867656763
94,2500,-65.17990518,-7.867672019
95,2500,-65.17944584,-7.867687274
96,2500,-65.17898651,-7.867702527
97,2500,-65.17623051,-7.86779402
98,2500,-65.18723875,-7.866982024
99,2500,-65.1849421,-7.867058393
100,2500,-65.18768233,-7.866521013
101,2500,-65.187223,-7.86653629
102,2500,-65.18538569,-7.866597388
103,2500,-65.18492636,-7.866612659
104,2500,-65.18766659,-7.866075278
105,2500,-65.18720726,-7.866090556
106,2500,-65.18674793,-7.866105832
107,2500,-65.1862886,-7.866121108
108,2500,-65.18582928,-7.866136381
109,2500,-65.18536995,-7.866151654
110,2500,-65.18765084,-7.865629543
111,2500,-65.18719152,-7.865644821
112,2500,-65.18673219,-7.865660097
113,2500,-65.18581354,-7.865690646
114,2500,-65.18535421,-7.865705918
115,2500,-65.18489489,-7.865721189
116,2500,-65.18809442,-7.865168527
117,2500,-65.1876351,-7.865183807
118,2500,-65.18717577,-7.865199084
119,625,-65.18725379,-7.870663112
120,625,-65.18289005,-7.870808182
121,625,-65.17668892,-7.871014124
122,625,-65.17531089,-7.871059856
123,625,-65.18724592,-7.870440249
124,625,-65.18265251,-7.870592951
125,625,-65.17691074,-7.870783638
126,625,-65.17553271,-7.870829372
127,625,-65.17530304,-7.870836993
128,625,-65.18723805,-7.870217385
129,625,-65.18654904,-7.870240299
130,625,-65.18631937,-7.870247937
131,625,-65.18011827,-7.870454016
132,625,-65.17506551,-7.87062175
133,625,-65.17483584,-7.87062937
134,625,-65.18723018,-7.869994522
135,625,-65.18654117,-7.870017436
136,625,-65.1863115,-7.870025073
137,625,-65.18011041,-7.870231152
138,625,-65.17988074,-7.87023878
139,625,-65.17482799,-7.870406507
140,625,-65.18285859,-7.869916728
141,625,-65.18285072,-7.869693864
142,625,-65.18513955,-7.869394663
143,625,-65.18490988,-7.869402298
144,625,-65.18284286,-7.869471
145,625,-65.18261319,-7.869478632
146,625,-65.18215385,-7.869493895
147,625,-65.18192418,-7.869501525
148,625,-65.18169451,-7.869509156
149,625,-65.18513168,-7.869171798
150,625,-65.18490201,-7.869179434
151,625,-65.18283499,-7.869248136
152,625,-65.18260532,-7.869255767
153,625,-65.18237565,-7.869263399
154,625,-65.18214599,-7.86927103
155,625,-65.18191632,-7.869278661
156,625,-65.18168665,-7.869286292
157,625,-65.18765016,-7.868864924
158,625,-65.17915243,-7.86914734
159,625,-65.17892276,-7.869154967
160,625,-65.17869309,-7.869162593
161,625,-65.17846342,-7.869170218
162,625,-65.17685574,-7.869223589
163,625,-65.17639641,-7.869238835
164,625,-65.17616674,-7.869246458
165,625,-65.17524806,-7.869276944
166,625,-65.17478872,-7.869292185
167,625,-65.18764228,-7.868642059
168,625,-65.1789149,-7.868932102
169,625,-65.17868523,-7.868939728
170,625,-65.17684789,-7.869000724
171,625,-65.17661822,-7.869008347
172,625,-65.17638855,-7.86901597
173,625,-65.17546988,-7.869046458
174,625,-65.17524021,-7.869054079
175,625,-65.17501054,-7.869061699
176,625,-65.17478087,-7.86906932
177,625,-65.18763441,-7.868419194
178,625,-65.18051472,-7.868655844
179,625,-65.17684003,-7.868777859
180,625,-65.17661036,-7.868785482
181,625,-65.17592136,-7.868808349
182,625,-65.17569169,-7.868815971
183,625,-65.18762654,-7.868196329
184,625,-65.18027719,-7.868440607
185,625,-65.17683218,-7.868554994
186,625,-65.17660251,-7.868562617
187,625,-65.1759135,-7.868585484
188,625,-65.17568384,-7.868593106
189,625,-65.184633,-7.868072743
190,625,-65.18440334,-7.868080378
191,625,-65.181877,-7.868164335
192,625,-65.18164733,-7.868171966
193,625,-65.18141767,-7.868179596
194,625,-65.181188,-7.868187226
195,625,-65.18072866,-7.868202485
196,625,-65.17843199,-7.868278757
197,625,-65.17590565,-7.868362618
198,625,-65.17567598,-7.86837024
199,625,-65.1876108,-7.867750598
200,625,-65.18439547,-7.867857512
201,625,-65.18163947,-7.8679491
202,625,-65.18118014,-7.86796436
203,625,-65.18095047,-7.86797199
204,625,-65.1807208,-7.867979619
205,625,-65.17957247,-7.868017759
206,625,-65.1793428,-7.868025386
207,625,-65.17842413,-7.868055891
208,625,-65.17589779,-7.868139752
209,625,-65.17566813,-7.868147374
210,625,-65.18186127,-7.867718604
211,625,-65.18163161,-7.867726234
212,625,-65.17864594,-7.8678254
213,625,-65.17841627,-7.867833025
214,625,-65.17588994,-7.867916886
215,625,-65.17566027,-7.867924508
216,625,-65.18782472,-7.867297226
217,625,-65.18759505,-7.867304866
218,625,-65.18185341,-7.867495737
219,625,-65.18162374,-7.867503368
220,625,-65.17863808,-7.867602533
221,625,-65.17840842,-7.867610159
222,625,-65.17588209,-7.86769402
223,625,-65.17565242,-7.867701642
224,625,-65.18781684,-7.86707436
225,625,-65.18758718,-7.867081999
226,625,-65.18689818,-7.867104915
227,625,-65.18666852,-7.867112553
228,625,-65.18552019,-7.867150737
229,625,-65.18529053,-7.867158373
230,625,-65.18780897,-7.866851493
231,625,-65.18757931,-7.866859133
232,625,-65.18689031,-7.866882048
233,625,-65.18666065,-7.866889686
234,625,-65.18551232,-7.866927871
235,625,-65.18528266,-7.866935507
236,625,-65.18803076,-7.866620987
237,625,-65.18688244,-7.866659182
238,625,-65.18665278,-7.86666682
239,625,-65.18802289,-7.86639812
240,625,-65.18687457,-7.866436315
241,625,-65.18664491,-7.866443952
242,625,-65.18801502,-7.866175253
243,625,-65.18502939,-7.866274541
244,625,-65.18479972,-7.866282176
245,625,-65.18800714,-7.865952385
246,625,-65.18502152,-7.866051674
247,625,-65.18479186,-7.866059309
248,625,-65.18799927,-7.865729518
249,625,-65.18639163,-7.865782988
250,625,-65.18616197,-7.865790625
251,625,-65.18822106,-7.86549901
252,625,-65.18638376,-7.86556012
253,156,-65.18271976,-7.870869622
254,156,-65.18260493,-7.870873438
255,156,-65.17697797,-7.871060311
256,156,-65.17686314,-7.871064123
257,156,-65.17559994,-7.871106045
258,156,-65.17548511,-7.871109856
259,156,-65.18271583,-7.87075819
260,156,-65.18260099,-7.870762006
261,156,-65.17697405,-7.87094888
262,156,-65.17685921,-7.870952691
263,156,-65.17559602,-7.870994614
264,156,-65.17548118,-7.870998424
265,156,-65.18742014,-7.870490236
266,156,-65.18294157,-7.870639127
267,156,-65.18282673,-7.870642943
268,156,-65.17674045,-7.870845071
269,156,-65.17662561,-7.870848883
270,156,-65.18741621,-7.870378804
271,156,-65.18293763,-7.870527695
272,156,-65.1828228,-7.870531511
273,156,-65.17673652,-7.87073364
274,156,-65.17662168,-7.870737451
275,156,-65.18741227,-7.870267372
276,156,-65.17994798,-7.870515453
277,156,-65.17983315,-7.870519266
278,156,-65.18740834,-7.870155941
279,156,-65.17994405,-7.870404021
280,156,-65.17982922,-7.870407835
281,156,-65.1874044,-7.870044509
282,156,-65.17511704,-7.870452697
283,156,-65.1750022,-7.870456507
284,156,-65.1875153,-7.869929258
285,156,-65.18740046,-7.869933077
286,156,-65.17511311,-7.870341265
287,156,-65.17499828,-7.870345075
288,156,-65.1826883,-7.869978168
289,156,-65.18257347,-7.869981984
290,156,-65.18268437,-7.869866736
291,156,-65.18256953,-7.869870552
292,156,-65.18268044,-7.869755304
293,156,-65.1825656,-7.86975912
294,156,-65.1826765,-7.869643872
295,156,-65.18256167,-7.869647688
296,156,-65.18761045,-7.869368278
297,156,-65.1824429,-7.869540072
298,156,-65.18232807,-7.869543887
299,156,-65.18760652,-7.869256846
300,156,-65.18243897,-7.86942864
301,156,-65.18232414,-7.869432455
302,156,-65.18760258,-7.869145414
303,156,-65.18759864,-7.869033982
304,156,-65.17668546,-7.869285023
305,156,-65.17657062,-7.869288834
306,156,-65.17553711,-7.869323134
307,156,-65.17542228,-7.869326944
308,156,-65.17507777,-7.869338376
309,156,-65.17496294,-7.869342186
310,156,-65.17668153,-7.869173591
311,156,-65.17656669,-7.869177402
312,156,-65.17553318,-7.869211701
313,156,-65.17541835,-7.869215512
314,156,-65.17507384,-7.869226943
315,156,-65.17495901,-7.869230753
316,156,-65.17920395,-7.868978285
317,156,-65.17908912,-7.868982098
318,156,-65.17851495,-7.869001163
319,156,-65.17840011,-7.869004976
320,156,-65.17621826,-7.869077403
321,156,-65.17610343,-7.869081214
322,156,-65.17920002,-7.868866852
323,156,-65.17908519,-7.868870666
324,156,-65.17851102,-7.868889731
325,156,-65.17839618,-7.868893544
326,156,-65.17621433,-7.868965971
327,156,-65.1760995,-7.868969782
328,156,-65.18034443,-7.868717282
329,156,-65.1802296,-7.868721096
330,156,-65.18780469,-7.868357748
331,156,-65.1803405,-7.868605849
332,156,-65.18022567,-7.868609664
333,156,-65.18780076,-7.868246316
334,156,-65.18056624,-7.868486788
335,156,-65.18045141,-7.868490602
336,156,-65.18779682,-7.868134883
337,156,-65.18056231,-7.868375355
338,156,-65.18044748,-7.86837917
339,156,-65.18779289,-7.86802345
340,156,-65.18767805,-7.86802727
341,156,-65.18756322,-7.868031089
342,156,-65.18101771,-7.868248665
343,156,-65.18090288,-7.868252479
344,156,-65.17963971,-7.868294435
345,156,-65.17952488,-7.868298248
346,156,-65.17941004,-7.868302062
347,156,-65.17929521,-7.868305875
348,156,-65.17872104,-7.868324942
349,156,-65.17860621,-7.868328755
350,156,-65.18778895,-7.867912017
351,156,-65.18767412,-7.867915837
352,156,-65.18755928,-7.867919657
353,156,-65.18101378,-7.868137232
354,156,-65.18089895,-7.868141046
355,156,-65.17963578,-7.868183002
356,156,-65.17952095,-7.868186816
357,156,-65.17940611,-7.868190629
358,156,-65.17929128,-7.868194443
359,156,-65.17871711,-7.868213509
360,156,-65.17860228,-7.868217322
361,156,-65.18789985,-7.867796765
362,156,-65.18778501,-7.867800585
363,156,-65.18468452,-7.867903685
364,156,-65.18456968,-7.867907503
365,156,-65.18192852,-7.867995279
366,156,-65.18181369,-7.867999094
367,156,-65.18146918,-7.868010539
368,156,-65.18135435,-7.868014354
369,156,-65.17871318,-7.868102076
370,156,-65.17859835,-7.868105889
371,156,-65.18789591,-7.867685332
372,156,-65.18778108,-7.867689152
373,156,-65.18468058,-7.867792252
374,156,-65.18456575,-7.86779607
375,156,-65.18192459,-7.867883846
376,156,-65.18180975,-7.867887661
377,156,-65.18146525,-7.867899106
378,156,-65.18135042,-7.867902921
379,156,-65.17870925,-7.867990643
380,156,-65.17859442,-7.867994456
381,156,-65.18789197,-7.867573899
382,156,-65.18777714,-7.867577719
383,156,-65.18766231,-7.867581538
384,156,-65.18754747,-7.867585358
385,156,-65.18788804,-7.867462466
386,156,-65.1877732,-7.867466286
387,156,-65.18765837,-7.867470105
388,156,-65.18754354,-7.867473925
389,156,-65.187995,-7.86723578
390,156,-65.18799106,-7.867124347
391,156,-65.18798712,-7.867012914
392,156,-65.18798319,-7.86690148
393,156,-65.18797925,-7.866790047
394,156,-65.1881853,-7.866113806
395,156,-65.18818136,-7.866002372
396,156,-65.18817742,-7.865890939
397,156,-65.18817349,-7.865779505
398,156,-65.18816955,-7.865668071
399,156,-65.18805078,-7.865560457
400,156,-65.18793595,-7.865564277
401,156,-65.18621348,-7.865621565
402,156,-65.18609865,-7.865625383
403,156,-65.18804685,-7.865449023
404,156,-65.18793202,-7.865452843
405,156,-65.18620955,-7.865510131
406,156,-65.18609472,-7.865513949
407,156,-65.18837559,-7.864991826